iter	RMSE
0	2.325742051
1	2.232140328
2	2.145111477
3	2.066666469
4	1.987039866
5	1.912804644
6	1.840591016
7	1.777349348
8	1.719672741
9	1.661377196
10	1.608943914
11	1.557104162
12	1.51134339
13	1.469031684
14	1.430979419
15	1.395056688
16	1.361184598
17	1.327590578
18	1.296119401
19	1.265909837
20	1.236216844
21	1.212488014
22	1.189024635
23	1.168063672
24	1.147907197
25	1.127563938
26	1.10911562
27	1.091572074
28	1.075691356
29	1.062045021
30	1.048603191
31	1.036021319
32	1.025255229
33	1.01326346
34	1.001318664
35	0.9914786815
36	0.9822568387
37	0.9747311903
38	0.9678928396
39	0.9608285005
40	0.9533265768
41	0.9478656941
42	0.9422821043
43	0.9370319325
44	0.9319543542
45	0.9280111746
46	0.9244868692
47	0.9203936206
48	0.9173454855
49	0.9147581582
50	0.9114571808
51	0.9089556329
52	0.9064321014
53	0.9039429437
54	0.9017375861
55	0.8999505001
56	0.897944255
57	0.8962634052
58	0.8943696654
59	0.8926772279
60	0.890842768
61	0.889592234
62	0.8884927619
63	0.8875649095
64	0.8864901204
65	0.8853346749
66	0.8840432539
67	0.8832653032
68	0.8822871354
69	0.8816660036
70	0.8811755756
71	0.8801956567
72	0.8794584948
73	0.8789085984
74	0.8785144091
75	0.8776338434
76	0.8768904766
77	0.8766568406
78	0.8762988833
79	0.8759573246
80	0.8754694149
81	0.8749853266
82	0.8742861564
83	0.8736557184
84	0.8730003774
85	0.8725927298
86	0.8718358511
87	0.8714513282
88	0.871254052
89	0.8708692727
90	0.8705506932
91	0.869900999
92	0.8695421548
93	0.8690024083
94	0.8679550112
95	0.8676260809
96	0.8673651873
97	0.8672803491
98	0.8671524944
99	0.8669384465
100	0.8664832635
101	0.8661871546
102	0.8659450684
103	0.8654050457
104	0.8647358062
105	0.8640867407
106	0.8634937016
107	0.8631904418
108	0.8630043514
109	0.8627705769
110	0.8622847248
111	0.8622105552
112	0.8619953573
113	0.8617468328
114	0.86136101
115	0.8609958719
116	0.8607242347
117	0.8606228477
118	0.8600993116
119	0.859943983
120	0.8595148209
121	0.8592668211
122	0.858956374
123	0.8587196419
124	0.858605152
125	0.8585745673
126	0.8583973896
127	0.8580943263
128	0.8580722324
129	0.8577617434
130	0.8577220906
131	0.8577220903
132	0.8574935708
133	0.8572573715
134	0.8569570297
135	0.856530542
136	0.8564344283
137	0.8562827899
138	0.8562106501
139	0.8559181364
140	0.8558709862
141	0.8557676216
142	0.8555988951
143	0.8554812385
144	0.8552355363
145	0.855192131
146	0.855044353
147	0.8547575181
148	0.8544678235
149	0.8543055479
150	0.8543032928
151	0.8541530337
152	0.8540858772
153	0.8539169821
154	0.8536220991
155	0.8535130697
156	0.8531665815
157	0.8531432722
158	0.8530719698
159	0.8529765204
160	0.8522382682
161	0.8518494264
162	0.8517110417
163	0.8515999669
164	0.8515482946
165	0.8509991249
166	0.850936575
167	0.8506727842
168	0.8502698638
169	0.8501502411
170	0.8500917586
171	0.8497920692
172	0.8496803461
173	0.8492354009
174	0.8490728531
175	0.8489732957
176	0.8487410044
177	0.8483024402
178	0.8479675447
179	0.847905462
180	0.847690313
181	0.846898649
182	0.8467428173
183	0.8466390951
184	0.8462878627
185	0.8462365558
186	0.8462024276
187	0.845964369
188	0.8457138799
189	0.8452448608
190	0.8447397119
191	0.8445101469
192	0.8441181373
193	0.8438817166
194	0.8432340841
195	0.8432340837
196	0.8430231947
197	0.8429521829
198	0.8429521829
199	0.8428113447
200	0.842605056
201	0.842512995
202	0.8421459776
203	0.8419100144
204	0.8414612389
205	0.8413569626
206	0.841263326
207	0.8412515008
208	0.8409739041
209	0.8406801496
210	0.8406712225
211	0.8403597501
212	0.8401211
213	0.8399107782
214	0.8397286061
215	0.8394062776
216	0.8391733043
217	0.8387730689
218	0.8387205527
219	0.8384908058
220	0.8381107361
221	0.8378709718
222	0.8376360309
223	0.837318317
224	0.8369877778
225	0.8369038672
226	0.8365288787
227	0.8361432939
228	0.8358419132
229	0.8354383154
230	0.8349381342
231	0.8345550295
232	0.8341909196
233	0.8341814659
234	0.8341736208
235	0.8340409243
236	0.8336775605
237	0.8333517181
238	0.8332983242
239	0.8325528152
240	0.8322418216
241	0.8318882916
242	0.8316681397
243	0.8315087322
244	0.831282512
245	0.8310449863
246	0.8307501224
247	0.8305410876
248	0.8302768819
249	0.8296918748
250	0.8296740972
251	0.8293104924
252	0.8291519372
253	0.8289244879
254	0.8287482728
255	0.82838483
256	0.8283251289
257	0.8280671455
258	0.8278262778
259	0.8275475184
260	0.8272772682
261	0.8270899515
262	0.8269949467
263	0.826762342
264	0.8265599038
265	0.8264588514
266	0.8260003647
267	0.8258209296
268	0.8255608423
269	0.8253037552
270	0.8250669702
271	0.8248804573
272	0.824671388
273	0.8245570807
274	0.8245066591
275	0.8243824037
276	0.8241132502
277	0.8241043674
278	0.8240034249
279	0.8237858584
280	0.8234789948
281	0.8231978704
282	0.8229637026
283	0.8228052604
284	0.8226299497
285	0.8225215811
286	0.8224506732
287	0.8223329749
288	0.8220001554
289	0.8219143589
290	0.8217036758
291	0.8214080966
292	0.8212585697
293	0.8210928467
294	0.8209112317
295	0.8204470838
296	0.8203642141
297	0.8202134104
298	0.8200647474
299	0.8198563698
300	0.8198508911
301	0.8195907894
302	0.8193697049
303	0.8192634964
304	0.8191577517
305	0.819009392
306	0.8189099856
307	0.8187050313
308	0.8182600581
