iter	Passed	Remaining
0	29	28972
1	66	32979
2	100	33329
3	135	33653
4	175	34924
5	210	34912
6	247	35162
7	294	36457
8	329	36315
9	364	36100
10	399	35894
11	432	35644
12	466	35393
13	499	35145
14	532	34955
15	564	34746
16	599	34663
17	631	34448
18	665	34372
19	699	34295
20	735	34268
21	768	34154
22	801	34047
23	835	33991
24	869	33902
25	902	33803
26	936	33757
27	970	33693
28	1004	33622
29	1038	33593
30	1072	33526
31	1105	33450
32	1139	33380
33	1183	33612
34	1217	33563
35	1250	33485
36	1282	33387
37	1313	33261
38	1346	33185
39	1380	33136
40	1413	33065
41	1451	33117
42	1488	33133
43	1521	33048
44	1552	32949
45	1584	32867
46	1617	32795
47	1655	32840
48	1690	32814
49	1724	32771
50	1758	32720
51	1790	32636
52	1820	32526
53	1853	32462
54	1885	32402
55	1916	32313
56	1946	32208
57	1978	32126
58	2008	32039
59	2039	31956
60	2072	31906
61	2106	31861
62	2138	31808
63	2169	31730
64	2200	31654
65	2230	31571
66	2262	31504
67	2296	31472
68	2327	31402
69	2359	31344
70	2389	31268
71	2420	31196
72	2450	31119
73	2483	31074
74	2515	31020
75	2546	30955
76	2576	30885
77	2601	30752
78	2633	30705
79	2665	30647
80	2697	30601
81	2729	30559
82	2760	30499
83	2796	30495
84	2835	30524
85	2870	30504
86	2900	30443
87	2933	30401
88	2964	30349
89	2997	30304
90	3028	30253
91	3059	30199
92	3092	30155
93	3125	30126
94	3159	30098
95	3196	30104
96	3235	30120
97	3272	30118
98	3306	30090
99	3337	30040
100	3370	30003
101	3403	29964
102	3436	29925
103	3467	29877
104	3498	29822
105	3529	29770
106	3560	29718
107	3591	29664
108	3626	29641
109	3658	29601
110	3689	29550
111	3719	29490
112	3750	29437
113	3780	29379
114	3810	29325
115	3842	29282
116	3875	29248
117	3907	29209
118	3939	29163
119	3970	29117
120	4001	29067
121	4032	29019
122	4065	28986
123	4098	28951
124	4133	28931
125	4163	28880
126	4195	28840
127	4228	28806
128	4256	28742
129	4290	28715
130	4307	28572
131	4318	28395
132	4351	28368
133	4384	28335
134	4418	28309
135	4456	28311
136	4490	28285
137	4524	28261
138	4556	28226
139	4591	28202
140	4625	28178
141	4657	28144
142	4691	28118
143	4725	28087
144	4760	28069
145	4787	28002
146	4819	27964
147	4851	27930
148	4886	27906
149	4918	27871
150	4936	27757
151	4970	27730
152	5002	27696
153	5034	27658
154	5069	27638
155	5100	27595
156	5131	27555
157	5163	27518
158	5196	27487
159	5213	27368
160	5246	27338
161	5279	27310
162	5312	27280
163	5349	27269
164	5383	27244
165	5419	27226
166	5453	27203
167	5486	27172
168	5518	27135
169	5550	27100
170	5575	27029
171	5606	26988
172	5639	26957
173	5673	26932
174	5706	26903
175	5738	26864
176	5771	26836
177	5802	26797
178	5832	26753
179	5866	26725
180	5899	26693
181	5947	26730
182	5978	26690
183	6009	26649
184	6042	26617
185	6072	26577
186	6105	26544
187	6138	26513
188	6172	26484
189	6203	26448
190	6234	26406
191	6265	26368
192	6297	26331
193	6330	26299
194	6362	26267
195	6375	26150
196	6407	26117
197	6438	26078
198	6453	25975
199	6484	25939
200	6516	25903
201	6548	25869
202	6580	25835
203	6612	25801
204	6643	25764
205	6674	25727
206	6705	25690
207	6737	25653
208	6770	25624
209	6804	25597
210	6824	25520
211	6857	25487
212	6890	25458
213	6921	25421
214	6953	25388
215	6987	25361
216	7021	25337
217	7055	25308
218	7088	25280
