dates,SKU,price_per_sku,num_purchases,week_num,year,discount,fincode,ui1_code,ui2_code,ui3_code,vendor,brand_code,creation_date,expiration_date,week_num_expiration,year_expiration,week_num_creation,year_creation,margin
2018-01-17,60870,109.182,7,3,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.8364
2018-01-18,60870,109.182,7,3,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.8364
2018-01-19,60870,109.182,8,3,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.016700000000004
2018-01-21,60870,109.182,7,3,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.8364
2018-01-22,60870,109.315,8,4,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.041083333333333
2018-01-24,60870,109.315,8,4,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.041083333333333
2018-01-24,72784,124.294,9,4,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,20.715666666666667
2018-01-25,60870,109.315,7,4,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.863
2018-01-25,72784,124.294,9,4,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,20.715666666666667
2018-01-26,60870,109.315,7,4,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.863
2018-01-27,60870,109.315,8,4,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.041083333333333
2018-01-27,72784,124.294,7,4,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.858800000000002
2018-01-28,72784,124.294,7,4,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.858800000000002
2018-01-29,60870,109.504,8,5,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.075733333333336
2018-01-29,72784,124.42,9,5,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,20.736666666666668
2018-01-30,60870,109.504,8,5,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.075733333333336
2018-01-30,72784,124.42,7,5,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.884
2018-02-01,60870,109.504,7,5,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.900800000000004
2018-02-01,72784,124.42,8,5,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,22.810333333333336
2018-02-02,60870,109.504,7,5,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.900800000000004
2018-02-02,72784,124.42,8,5,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,22.810333333333336
2018-02-03,60870,109.504,9,5,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,18.25066666666667
2018-02-04,60870,109.504,8,5,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.075733333333336
2018-02-06,60870,109.49,9,6,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,18.248333333333335
2018-02-06,72784,124.42,8,6,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,22.810333333333336
2018-02-07,72784,124.42,7,6,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.884
2018-02-08,60870,109.49,8,6,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.07316666666667
2018-02-08,72784,124.42,7,6,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.884
2018-02-09,38767,63.525,9,6,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.5875
2018-02-09,60870,109.49,7,6,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.898
2018-02-10,38767,63.525,11,6,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,8.47
2018-02-10,57561,91.525,8,6,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.779583333333335
2018-02-10,72784,124.42,7,6,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.884
2018-02-11,38767,63.525,11,6,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,8.47
2018-02-11,60870,109.49,7,6,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.898
2018-02-11,72784,124.42,7,6,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.884
2018-02-12,38767,63.714,10,7,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,9.557100000000002
2018-02-12,60870,109.504,7,7,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.900800000000004
2018-02-12,72784,124.63,7,7,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.926000000000002
2018-02-13,38767,63.714,10,7,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,9.557100000000002
2018-02-13,57561,91.672,10,7,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,13.750800000000002
2018-02-13,60870,109.504,8,7,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.075733333333336
2018-02-13,72784,124.63,7,7,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.926000000000002
2018-02-14,38767,63.714,9,7,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.619000000000002
2018-02-14,57561,91.672,8,7,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.806533333333334
2018-02-14,72784,124.63,8,7,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,22.848833333333335
2018-02-15,38767,63.714,9,7,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.619000000000002
2018-02-15,57561,91.672,9,7,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,15.278666666666668
2018-02-15,60870,109.504,7,7,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.900800000000004
2018-02-15,72784,124.63,7,7,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.926000000000002
2018-02-16,38767,63.714,9,7,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.619000000000002
2018-02-16,57561,91.672,8,7,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.806533333333334
2018-02-16,60870,109.504,9,7,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,18.25066666666667
2018-02-16,72784,124.63,7,7,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.926000000000002
2018-02-17,57561,91.672,8,7,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.806533333333334
2018-02-17,60870,109.504,7,7,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.900800000000004
2018-02-18,38767,63.714,9,7,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.619000000000002
2018-02-18,57561,91.672,8,7,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.806533333333334
2018-02-18,60870,109.504,7,7,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.900800000000004
2018-02-18,72784,124.63,8,7,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,22.848833333333335
2018-02-19,38767,63.833,9,8,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.638833333333334
2018-02-19,60870,109.735,7,8,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.947000000000003
2018-02-19,72784,124.637,8,8,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,22.85011666666667
2018-02-20,38767,63.833,9,8,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.638833333333334
2018-02-20,57561,91.588,9,8,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,15.264666666666667
2018-02-20,72784,124.637,7,8,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.927400000000002
2018-02-21,57561,91.588,8,8,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.791133333333335
2018-02-21,60870,109.735,7,8,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.947000000000003
2018-02-22,38767,63.833,10,8,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,9.574950000000001
2018-02-22,57561,91.588,9,8,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,15.264666666666667
2018-02-22,60870,109.735,8,8,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.118083333333335
2018-02-22,72784,124.637,9,8,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,20.772833333333335
2018-02-23,38767,63.833,9,8,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.638833333333334
2018-02-23,57561,91.588,8,8,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.791133333333335
2018-02-23,60870,109.735,8,8,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.118083333333335
2018-02-23,72784,124.637,7,8,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.927400000000002
2018-02-24,38767,63.833,9,8,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.638833333333334
2018-02-24,57561,91.588,9,8,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,15.264666666666667
2018-02-24,60870,109.735,8,8,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.118083333333335
2018-02-24,72784,124.637,7,8,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,24.927400000000002
2018-02-25,38767,63.833,9,8,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.638833333333334
2018-02-25,57561,91.588,8,8,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.791133333333335
2018-02-25,60870,109.735,7,8,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.947000000000003
2018-02-25,72784,124.637,8,8,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,22.85011666666667
2018-02-26,38767,63.952,10,9,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,9.5928
2018-02-26,57561,91.784,8,9,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.82706666666667
2018-02-26,60870,109.784,7,9,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.9568
2018-02-26,72784,125.008,7,9,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,25.0016
2018-02-27,38767,63.952,11,9,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,8.526933333333334
2018-02-27,60870,109.784,8,9,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.127066666666668
2018-02-27,72784,125.008,8,9,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,22.918133333333333
2018-02-28,38767,63.952,9,9,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.658666666666667
2018-02-28,57561,91.784,10,9,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,13.767600000000003
2018-02-28,60870,109.784,8,9,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,20.127066666666668
2018-02-28,72784,125.008,7,9,2018,1.0,15,151,15100,1510002,AWD3XQ,79VL731U,2018-01-23,2200-01-01 00:00:00,1,2200,4,2018,25.0016
2018-03-01,38767,63.952,9,9,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.658666666666667
2018-03-01,57561,91.784,8,9,2018,1.0,15,151,15100,1510002,SHL570,79VL731U,2018-02-10,2019-10-28 00:00:00,44,2019,6,2018,16.82706666666667
2018-03-01,60870,109.784,7,9,2018,1.0,15,151,15100,1510003,UEYMBB,WKXRWTP7,2018-01-17,2019-04-02 00:00:00,14,2019,3,2018,21.9568
2018-03-02,38767,63.952,9,9,2018,1.0,15,151,15100,1510002,4HJSP5,79VL731U,2018-02-08,2200-01-01 00:00:00,1,2200,6,2018,10.658666666666667
