dates,SKU,price_per_sku
2019-12-24,10334,101.094
2019-12-18,11050,110.71
2019-12-18,17812,70.19640000000001
2019-12-23,19632,155.65200000000004
2019-05-14,24125,110.455
2019-04-09,32950,454.175
2019-12-22,36096,133.996
2019-12-23,38767,74.536
2019-12-18,43678,149.71
2019-12-24,49661,165.97799999999995
2019-12-22,54404,85.99600000000002
2019-10-14,57561,99.463
2019-03-25,60870,117.064
2019-12-20,64619,153.424
2019-02-20,68211,165.608
2019-08-16,69997,141.82
2019-12-20,72784,134.71
2019-12-03,78833,303.375
2019-12-22,80308,119.568
2019-12-23,80631,92.257
2019-12-21,83329,90.138
2019-12-23,84395,140.815
2019-12-21,89272,124.996
2019-12-20,90611,91.14
2018-12-16,98255,67.116
